site;year;adult;young;cox;coy;ele;len;pre;pro;wid;cor;spm;spr;bm;bv
bl17;2009;NA;NA;11.97765;46.00815;220;500;1;1;300;400;0;1;NA;NA
vi1;2009;NA;NA;11.68513;45.68496;63;70;1;1;300;450;0;1;NA;NA
vi2;2009;NA;NA;11.55839;45.677014;88;1;1;0;80;160;1;1;50;170
pd1;2009;NA;NA;11.710517;45.657187;50;150;1;1;280;330;0;1;NA;NA
bz1;2010;NA;NA;;;;;;;;;;;;
bz2;2010;NA;NA;;;;;;;;;;;;
bz3;2010;NA;NA;;;;;;;;;;;;
bz4;2010;NA;NA;;;;;;;;;;;;
bz5;2010;NA;NA;;;;;;;;;;;;
bz6;2010;NA;NA;;;;;;;;;;;;
bz7;2010;NA;NA;;;;;;;;;;;;
bz8;2010;NA;NA;;;;;;;;;;;;
bz9;2010;NA;NA;;;;;;;;;;;;
bz10;2010;NA;NA;;;;;;;;;;;;
bz11;2010;NA;NA;;;;;;;;;;;;
bz12;2010;NA;NA;;;;;;;;;;;;
bz13;2010;NA;NA;;;;;;;;;;;;
bz14;2010;NA;NA;;;;;;;;;;;;
bz15;2010;NA;NA;;;;;;;;;;;;
bz16;2010;NA;NA;;;;;;;;;;;;
bz17;2010;NA;NA;;;;;;;;;;;;
bz18;2010;NA;NA;;;;;;;;;;;;
bz19;2010;NA;NA;;;;;;;;;;;;
bz20;2010;NA;NA;;;;;;;;;;;;
bz21;2010;NA;NA;;;;;;;;;;;;
bz22;2010;NA;NA;;;;;;;;;;;;
bz23;2010;NA;NA;;;;;;;;;;;;
bz24;2010;NA;NA;;;;;;;;;;;;
bz25;2010;NA;NA;;;;;;;;;;;;
bz26;2010;NA;NA;;;;;;;;;;;;
bz27;2010;NA;NA;;;;;;;;;;;;
bz28;2010;NA;NA;;;;;;;;;;;;
bz29;2010;NA;NA;;;;;;;;;;;;
bz30;2010;NA;NA;;;;;;;;;;;;
bz31;2010;NA;NA;;;;;;;;;;;;
bz32;2010;NA;NA;;;;;;;;;;;;
bz33;2010;NA;NA;;;;;;;;;;;;
bz34;2010;NA;NA;;;;;;;;;;;;
bz35;2010;NA;NA;;;;;;;;;;;;
bz36;2010;NA;NA;;;;;;;;;;;;
bz37;2010;NA;NA;;;;;;;;;;;;
bz38;2010;NA;NA;;;;;;;;;;;;
bz39;2010;NA;NA;;;;;;;;;;;;
bz40;2010;NA;NA;;;;;;;;;;;;
bz41;2010;NA;NA;;;;;;;;;;;;
bz42;2010;NA;NA;;;;;;;;;;;;
bz43;2010;NA;NA;;;;;;;;;;;;
bz44;2010;NA;NA;;;;;;;;;;;;
bz45;2010;NA;NA;;;;;;;;;;;;
bz46;2010;NA;NA;;;;;;;;;;;;
bz47;2010;NA;NA;;;;;;;;;;;;
bz48;2010;NA;NA;;;;;;;;;;;;
bz49;2010;NA;NA;;;;;;;;;;;;
bz50;2010;NA;NA;;;;;;;;;;;;
bz51;2010;NA;NA;;;;;;;;;;;;
bz52;2010;NA;NA;;;;;;;;;;;;
bz53;2010;NA;NA;;;;;;;;;;;;
bz54;2010;NA;NA;;;;;;;;;;;;
bz55;2010;NA;NA;;;;;;;;;;;;
bz56;2010;NA;NA;;;;;;;;;;;;
bz57;2010;NA;NA;;;;;;;;;;;;
bz58;2010;NA;NA;;;;;;;;;;;;
bz59;2010;NA;NA;;;;;;;;;;;;
tn1;2010;8;0;;;;;;;;;;;;
tn2;2010;0;4;;;;;;;;;;;;
tn3;2010;0;10;;;;;;;;;;;;
tn4;2010;3;0;;;;;;;;;;;;
tn5;2010;0;0;;;;;;;;;;;;
tn6;2010;15;5;;;;;;;;;;;;
tn7;2010;3;0;;;;;;;;;;;;
tn8;2010;80;190;;;;;;;;;;;;
tn9;2010;70;10;;;;;;;;;;;;
tn10;2010;3;0;;;;;;;;;;;;
tn11;2010;0;0;;;;;;;;;;;;
tn12;2010;1;0;;;;;;;;;;;;
tn13;2010;70;0;;;;;;;;;;;;
tn14;2010;0;10;;;;;;;;;;;;
tn15;2010;0;0;;;;;;;;;;;;
tn16;2010;10;0;;;;;;;;;;;;
tn17;2010;0;0;;;;;;;;;;;;
tn18;2010;1;0;;;;;;;;;;;;
tn19;2010;21;0;;;;;;;;;;;;
tn20;2010;0;0;;;;;;;;;;;;
tn21;2010;0;0;;;;;;;;;;;;
bl1;2010;NA;NA;;;;;;;;;;;;
bl2;2010;NA;NA;;;;;;;;;;;;
bl3;2010;NA;NA;;;;;;;;;;;;
bl4;2010;NA;NA;;;;;;;;;;;;
bl5;2010;NA;NA;;;;;;;;;;;;
bl6;2010;NA;NA;;;;;;;;;;;;
bl7;2010;NA;NA;;;;;;;;;;;;
bl8;2010;NA;NA;;;;;;;;;;;;
bl9;2010;NA;NA;;;;;;;;;;;;
bl10;2010;NA;NA;;;;;;;;;;;;
bl11;2010;NA;NA;;;;;;;;;;;;
bl12;2010;NA;NA;;;;;;;;;;;;
bl13;2010;NA;NA;;;;;;;;;;;;
bl14;2010;NA;NA;;;;;;;;;;;;
bl15;2010;NA;NA;;;;;;;;;;;;
bl16;2010;NA;NA;;;;;;;;;;;;
bl17;2010;NA;NA;;;;;;;;;;;;
vi1;2010;NA;NA;;;;;;;;;;;;
vi2;2010;NA;NA;;;;;;;;;;;;
pd1;2010;NA;NA;;;;;;;;;;;;
bz1;2011;NA;NA;;;;;;;;;;;;
bz2;2011;NA;NA;;;;;;;;;;;;
bz3;2011;NA;NA;;;;;;;;;;;;
bz4;2011;NA;NA;;;;;;;;;;;;
bz5;2011;NA;NA;;;;;;;;;;;;
bz6;2011;NA;NA;;;;;;;;;;;;
bz7;2011;NA;NA;;;;;;;;;;;;
bz8;2011;NA;NA;;;;;;;;;;;;
